11.01 8 food
11.01 11 hosiptal
11.01 20 hosiptal
11.01 15 food
11.01 119 shopping
11.01 2.5 trans
11.01 5 caicha
11.01 7 food
11.02 10 food
11.02 1.5 trans
11.02 23 food
11.02 5 wash
11.03 10 food
11.03 17 food
11.03 6 shopping
11.03 10 naicha
11.03 28 food
11.03 1.5 trans
11.04 5 food
11.04 8.32 food
11.04 4 naicha
11.04 5 food
11.05 66 cloth
11.05 4.5 food
11.05 10 food
11.05 13 food
11.05 12.5 food
11.06 7 food
11.06 9.5 food
11.06 130 idol
11.07 15 trans
11.08 1.5 trans
11.08 7 food
11.08 7 food
11.08 1.5 trans
11.09 7 food
11.10 4 wash
11.10 10 food
11.10 13 food
11.10 3.3 food
11.11 10 other
11.11 43.9 shop
11.11 4 naicha
11.11 7 food
11.12 10 food
11.12 1.5 trans
11.12 14 food
11.13 7 food
11.13 1.5 trans
11.13 1.5 trans
11.13 12.5 food
11.14 24 food
11.14 4 wash
11.15 8 vip
11.15 5 food
11.15 7.10 food
11.16 15 trans
11.16 7 food
11.116 61 cloth
11.16 12 food
11.16 8 naicha
11.17 6.5 food
11.17 11 food
11.17 1.5 trams
11.17 8.71 food
11.18 3 food
